10000,000	-54,659
10174,194	-54,728
10351,422	-54,760
10531,737	-54,713
10715,193	-54,779
10901,845	-54,807
11091,748	-54,828
11284,959	-54,891
11481,536	-54,877
11681,537	-54,978
11885,022	-54,949
12092,052	-55,013
12302,688	-55,026
12516,993	-55,072
12735,031	-55,103
12956,867	-55,108
13182,567	-55,103
13412,199	-55,270
13645,831	-55,209
13883,533	-55,332
14125,375	-55,286
14371,431	-55,350
14621,772	-55,424
14876,474	-55,469
15135,612	-55,483
15399,265	-55,527
15667,511	-55,622
15940,429	-55,666
16218,101	-55,715
16500,610	-55,751
16788,040	-55,784
17080,477	-55,912
17378,008	-55,920
17680,722	-55,979
17988,709	-56,026
18302,061	-56,135
18620,871	-56,208
18945,235	-56,250
19275,249	-56,344
19611,012	-56,428
19952,623	-56,468
20300,185	-56,588
20653,802	-56,720
21013,578	-56,821
21379,621	-56,893
21752,040	-57,007
22130,947	-57,064
22516,454	-57,171
22908,677	-57,303
23307,731	-57,414
23713,737	-57,582
24126,815	-57,697
24547,089	-57,893
24974,684	-57,989
25409,727	-58,068
25852,348	-58,314
26302,680	-58,535
26760,856	-58,630
27227,013	-58,830
27701,290	-59,028
28183,829	-59,287
28674,774	-59,392
29174,270	-59,663
29682,467	-59,898
30199,517	-60,098
30725,574	-60,477
31260,794	-60,732
31805,337	-61,165
32359,366	-61,505
32923,045	-61,689
33496,544	-62,209
34080,032	-62,617
34673,685	-63,000
35277,679	-63,473
35892,193	-64,008
36517,413	-64,441
37153,523	-65,006
37800,714	-65,677
38459,178	-66,401
39129,113	-67,145
39810,717	-67,788
40504,195	-68,329
41209,752	-68,860
41927,600	-69,240
42657,952	-69,368
43401,026	-69,439
44157,045	-68,559
44926,232	-67,996
45708,819	-67,278
46505,038	-66,272
47315,126	-65,270
48139,325	-64,421
48977,882	-63,414
49831,046	-62,581
50699,071	-61,599
51582,217	-60,831
52480,746	-60,017
53394,927	-59,313
54325,033	-58,542
55271,341	-57,803
56234,133	-57,132
57213,695	-56,454
58210,322	-55,882
59224,309	-55,247
60255,959	-54,697
61305,579	-54,090
62373,484	-53,587
63459,990	-53,029
64565,423	-52,525
65690,112	-51,999
66834,392	-51,484
67998,605	-50,990
69183,097	-50,511
70388,223	-50,037
71614,341	-49,598
72861,817	-49,144
74131,024	-48,708
75422,340	-48,270
76736,149	-47,825
78072,844	-47,431
79432,823	-47,010
80816,493	-46,587
82224,265	-46,172
83656,560	-45,768
85113,804	-45,371
86596,432	-44,990
88104,887	-44,597
89639,619	-44,215
91201,084	-43,846
92789,749	-43,461
94406,088	-43,075
96050,582	-42,715
97723,722	-42,356
99426,007	-41,993
101157,945	-41,625
102920,053	-41,275
104712,855	-40,922
106536,886	-40,567
108392,691	-40,214
110280,823	-39,875
112201,845	-39,537
114156,330	-39,190
116144,861	-38,848
118168,031	-38,514
120226,443	-38,169
122320,712	-37,841
124451,461	-37,511
126619,327	-37,178
128824,955	-36,851
131069,004	-36,529
133352,143	-36,199
135675,053	-35,880
138038,426	-35,556
140442,968	-35,238
142889,396	-34,914
145378,439	-34,604
147910,839	-34,287
150487,352	-33,972
153108,746	-33,657
155775,803	-33,347
158489,319	-33,035
161250,103	-32,731
164058,977	-32,421
166916,781	-32,117
169824,365	-31,809
172782,598	-31,504
175792,361	-31,203
178854,553	-30,903
181970,086	-30,600
185139,889	-30,302
188364,909	-30,004
191646,106	-29,708
194984,460	-29,414
198380,966	-29,119
201836,636	-28,824
205352,503	-28,536
208929,613	-28,242
212569,035	-27,954
216271,852	-27,665
220039,171	-27,378
223872,114	-27,091
227771,824	-26,807
231739,465	-26,523
