10000,000	0,203
10174,194	0,161
10351,422	0,149
10531,737	0,178
10715,193	0,156
10901,845	0,164
11091,748	0,153
11284,959	0,159
11481,536	0,154
11681,537	0,162
11885,022	0,179
12092,052	0,161
12302,688	0,149
12516,993	0,169
12735,031	0,153
12956,867	0,148
13182,567	0,163
13412,199	0,144
13645,831	0,153
13883,533	0,164
14125,375	0,184
14371,431	0,140
14621,772	0,167
14876,474	0,169
15135,612	0,156
15399,265	0,157
15667,511	0,134
15940,429	0,190
16218,101	0,161
16500,610	0,154
16788,040	0,165
17080,477	0,200
17378,008	0,186
17680,722	0,180
17988,709	0,192
18302,061	0,195
18620,871	0,163
18945,235	0,199
19275,249	0,394
19611,012	0,536
19952,623	0,351
20300,185	0,206
20653,802	0,224
21013,578	0,199
21379,621	0,210
21752,040	0,205
22130,947	0,182
22516,454	0,214
22908,677	0,192
23307,731	0,255
23713,737	0,197
24126,815	0,203
24547,089	0,230
24974,684	0,280
25409,727	0,221
25852,348	0,267
26302,680	0,240
26760,856	0,257
27227,013	0,257
27701,290	0,235
28183,829	0,278
28674,774	0,238
29174,270	0,210
29682,467	0,257
30199,517	0,188
30725,574	0,222
31260,794	0,257
31805,337	0,260
32359,366	0,215
32923,045	0,213
33496,544	0,225
34080,032	0,231
34673,685	0,198
35277,679	0,299
35892,193	0,289
36517,413	0,299
37153,523	0,478
37800,714	0,379
38459,178	1,259
39129,113	6,884
39810,717	0,506
40504,195	0,430
41209,752	0,356
41927,600	0,321
42657,952	0,262
43401,026	0,259
44157,045	0,232
44926,232	0,233
45708,819	0,242
46505,038	0,261
47315,126	0,272
48139,325	0,258
48977,882	0,320
49831,046	0,244
50699,071	0,302
51582,217	0,346
52480,746	0,258
53394,927	0,321
54325,033	0,437
55271,341	0,386
56234,133	0,447
57213,695	0,743
58210,322	0,914
59224,309	5,175
60255,959	5,682
61305,579	2,553
62373,484	1,314
63459,990	3,738
64565,423	0,956
65690,112	0,989
66834,392	0,434
67998,605	0,440
69183,097	0,353
70388,223	0,376
71614,341	0,414
72861,817	0,366
74131,024	0,369
75422,340	0,381
76736,149	0,364
78072,844	1,732
79432,823	0,428
80816,493	0,496
82224,265	0,481
83656,560	0,414
85113,804	0,372
86596,432	0,420
88104,887	0,399
89639,619	0,372
91201,084	0,386
92789,749	0,471
94406,088	0,478
96050,582	0,406
97723,722	0,453
99426,007	0,457
101157,945	0,523
102920,053	0,557
104712,855	0,521
106536,886	0,535
108392,691	0,574
110280,823	0,534
112201,845	0,426
114156,330	0,563
116144,861	0,489
118168,031	0,568
120226,443	0,553
122320,712	0,683
124451,461	0,576
