10000,000	0,219
10174,194	0,208
10351,422	0,210
10531,737	0,191
10715,193	0,186
10901,845	0,202
11091,748	0,178
11284,959	0,211
11481,536	0,218
11681,537	0,186
11885,022	0,192
12092,052	0,195
12302,688	0,206
12516,993	0,159
12735,031	0,196
12956,867	0,212
13182,567	0,192
13412,199	0,186
13645,831	0,177
13883,533	0,195
14125,375	0,174
14371,431	0,158
14621,772	0,157
14876,474	0,175
15135,612	0,166
15399,265	0,149
15667,511	0,172
15940,429	0,179
16218,101	0,164
16500,610	0,186
16788,040	0,157
17080,477	0,180
17378,008	0,165
17680,722	0,199
17988,709	0,177
18302,061	0,177
18620,871	0,206
18945,235	0,216
19275,249	0,370
19611,012	0,577
19952,623	0,246
20300,185	0,201
20653,802	0,189
21013,578	0,171
21379,621	0,154
21752,040	0,155
22130,947	0,165
22516,454	0,156
22908,677	0,134
23307,731	0,150
23713,737	0,185
24126,815	0,167
24547,089	0,157
24974,684	0,253
25409,727	0,178
25852,348	0,154
26302,680	0,141
26760,856	0,154
27227,013	0,180
27701,290	0,167
28183,829	0,159
28674,774	0,145
29174,270	0,133
29682,467	0,140
30199,517	0,146
30725,574	0,112
31260,794	0,109
31805,337	0,126
32359,366	0,110
32923,045	0,075
33496,544	0,095
34080,032	0,102
34673,685	0,108
35277,679	0,114
35892,193	0,153
36517,413	0,155
37153,523	0,204
37800,714	0,229
38459,178	0,589
39129,113	2,464
39810,717	0,261
40504,195	0,149
41209,752	0,107
41927,600	0,112
42657,952	0,105
43401,026	0,098
44157,045	0,090
44926,232	0,084
45708,819	0,078
46505,038	0,096
47315,126	0,074
48139,325	0,089
48977,882	0,096
49831,046	0,080
50699,071	0,091
51582,217	0,095
52480,746	0,109
53394,927	0,103
54325,033	0,118
55271,341	0,133
56234,133	0,150
57213,695	0,145
58210,322	0,259
59224,309	1,257
60255,959	2,231
61305,579	0,682
62373,484	0,230
63459,990	0,517
64565,423	0,181
65690,112	0,169
66834,392	0,120
67998,605	0,113
69183,097	0,129
70388,223	0,125
71614,341	0,129
72861,817	0,134
74131,024	0,133
75422,340	0,121
76736,149	0,138
78072,844	0,259
79432,823	0,145
80816,493	0,129
82224,265	0,126
83656,560	0,171
85113,804	0,150
86596,432	0,165
88104,887	0,176
89639,619	0,168
91201,084	0,181
92789,749	0,172
94406,088	0,180
96050,582	0,165
97723,722	0,197
99426,007	0,213
101157,945	0,210
102920,053	0,231
104712,855	0,248
106536,886	0,246
108392,691	0,229
110280,823	0,262
112201,845	0,252
114156,330	0,294
116144,861	0,259
118168,031	0,309
120226,443	0,275
122320,712	0,268
124451,461	0,313
126619,327	0,294
128824,955	0,279
131069,004	0,307
133352,143	0,306
135675,053	0,303
138038,426	0,329
140442,968	0,410
142889,396	0,384
145378,439	0,378
147910,839	0,401
150487,352	0,494
153108,746	0,424
155775,803	0,451
158489,319	0,465
161250,103	0,444
164058,977	0,381
166916,781	0,431
169824,365	0,476
172782,598	0,445
175792,361	0,603
178854,553	0,531
181970,086	0,528
185139,889	0,525
188364,909	0,641
191646,106	0,600
